,PARTICIPANT_ID,DEVICE,SCREEN_W,SCREEN_H,AGE,GENDER,HAS_TAKEN_TYPING_COURSE,LAYOUT,WPM,ERROR_RATE,NATIVE_LANGUAGE,KEYBOARD_TYPE,USING_APP,USING_FEATURES,FINGERS,TIME_SPENT_TYPING,TYPE_ENGLISH,P_KPD,P_IKI,P_BSP,P_ECPC,P_UILEN,P_KSPC,ITE_SWYPE,ITE_PREDICT,ITE_AUTOCORR
6147,72046,mobile,414,736,20,male,0,qwerty,24.4181558203839,0.535008141428239,en,mobile,FALSE,"""[\autocorrection\""""]""""""",right_hand;thumbs,13,,18.7888533244,86.51169067857880,1.4,0.0320850811283162,45.6,0.835527258266667,0,0.285966810966811,0.008333333333333330
6149,72091,mobile,375,667,22,female,1,qwerty,30.9635801639565,2.36486486486487,en,mobile,FALSE,"""[\autocorrection\""""]""""""",right_hand;thumbs,4,,22.688384462333300,84.10987765282580,1.0666666666666700,0.0269735113264525,39.4,1.04555592346667,0,0.008333333333333330,0.07957505457505460
6156,72215,mobile,412,732,20,female,0,qwerty,38.129619344640496,1.30505709624796,pl,mobile,FALSE,"""[\autocorrection\""""]""""""",right_hand;thumbs,5,usually,21.583227971400000,100.7322332486350,0.8666666666666670,0.0248865531243238,40.666666666,1.38151870693333,0,0,0.009523809523809520
6169,72387,mobile,360,640,46,female,0,qwerty,27.0866499044951,1.11777535441658,hi,mobile,SwiftKey,"""[\no\""""]""""""",right_hand;index_fingers,2,always,19.297397762666700,106.49436995256400,0.8,0.0225431859217937,40.533333333,1.2954026872,0,0.010256410256410300,0
6170,72388,mobile,376,668,40,female,1,qwerty,22.0217264825155,1.2326656394453,en,mobile,notsure,"""[\autocorrection\"""""",""\""""notsure\""""]""""""",right_hand;thumbs,0,always,9.215357533133330,100.00617962046800,0,0.0,43.266666666,0.848112314933333,0.08926166426166420,0.26424723424723400,0.016666666666666700
6179,72478,mobile,360,640,29,female,1,qwerty,23.5374468361325,1.95804195804196,te,mobile,FALSE,"""[\prediction\"""""",""\""""autocorrection\"""""",""\""""notsure\""""]""""""",right_hand;thumbs,1,usually,9.81769844,133.1425766686630,0.9333333333333330,0.0210787037037037,47.333333333,1.2172959558,0.05793650793650790,0.2128379028379030,0.029153439153439200
6181,72486,mobile,414,736,33,female,0,qwerty,33.3988212180747,0.674536256323778,gu,mobile,notsure,"""[\autocorrection\""""]""""""",right_hand;index_fingers,2,always,20.05703549226670,119.61043388943400,1.3333333333333300,0.0383190685096311,39.533333333,1.05823164966667,0.03644688644688650,0.1034004884004880,0.16753968253968300
6185,72630,mobile,360,640,34,female,1,qwerty,31.5321347920255,1.02739726027397,en,mobile,FALSE,"""[\autocorrection\""""]""""""",right_hand;thumbs,24,,10.456033710733300,85.5283606977555,0,0.0,38.933333333,1.1453254048,0.02619047619047620,0.1522270322270320,0.1104256854256850
6188,72666,mobile,1024,768,35,none,0,qwerty,25.4366254634706,1.11731843575419,tl,tablet,FALSE,"""[\no\"""""",""\""""notsure\""""]""""""",right_hand;index_fingers,1,usually,9.0252172248,141.29132328127100,0.8666666666666670,0.0242534496223781,40.266666666,1.06063164266667,0,0,0
6197,72742,mobile,375,667,28,female,0,qwerty,33.6725283560208,1.92043895747599,sr,mobile,FALSE,"""[\no\""""]""""""",right_hand;thumbs,1,usually,19.125796578133300,124.06634518625500,2.933333333333330,0.0621973098976826,48.466666666,1.1226244666,0,0,0
6202,72755,mobile,375,667,28,female,0,qwerty,39.6697218072435,0.895522388059702,sr,mobile,FALSE,"""[\no\""""]""""""",right_hand;thumbs,1,sometimes,18.943487127133300,106.68318796619400,2,0.0438373550379812,44.666666666,1.08554340633333,0,0,0
6204,72771,mobile,412,732,27,male,0,qwerty,25.4347145858477,2.7072758037225,ur,mobile,FALSE,"""[\prediction\""""]""""""",right_hand;thumbs,15,usually,10.990622414333300,178.40292790597400,0,0.0,38.933333333,0.971499009666667,0.12066378066378100,0.22074555074555100,0
6214,72817,mobile,360,780,17,male,0,qwerty,9.62077314763918,2.41545893719807,en,mobile,notsure,"""[\autocorrection\""""]""""""",right_hand;thumbs,15,,6.338906369266670,56.23376799286000,0,0.0,40.866666666,1.55854541893333,0,0,0.009523809523809520
6226,72872,mobile,640,360,26,female,0,qwerty,19.825489701093,1.62721893491124,en,mobile,FALSE,"""[\autocorrection\""""]""""""",right_hand;index_fingers,3,,7.389614095200000,132.75453846273200,0.6,0.0158070635661672,45.066666666,1.07584936653333,0.0453030303030303,0.0670995670995671,0.047222222222222200
6227,72874,mobile,360,720,22,female,0,qwerty,37.3618992867998,2.2887323943662,ur,mobile,FALSE,"""[\prediction\""""]""""""",right_hand;thumbs,3,usually,8.0435994478,88.53507424924280,0,0.0,37.466666666,1.1317852044,0.01944444444444440,0.2755916305916310,0.01111111111111110
6232,72906,mobile,360,640,30,female,0,qwerty,24.1701895054558,1.43061516452074,en,mobile,notsure,"""[\no\""""]""""""",right_hand;thumbs,5,,3.862176282333330,108.96955164597900,0.9333333333333330,0.0182154185917627,46.2,1.46407955833333,0.013095238095238100,0.013333333333333300,0.07502645502645500
6233,72943,mobile,414,736,23,female,0,qwerty,31.2338725963157,1.34453781512605,en,mobile,FALSE,"""[\autocorrection\""""]""""""",right_hand;thumbs,15,,13.735237268666700,88.60049479691300,5.533333333333330,0.150487675424482,39.666666666,1.1723784936,0.009523809523809520,0.12492544492544500,0.020634920634920600
6241,72982,mobile,375,667,23,female,1,qwerty,44.6023329798515,1.1142061281337,ar,mobile,FALSE,"""[\no\""""]""""""",right_hand;thumbs,12,always,17.867860339533300,103.69685071368300,3.8,0.0926825139624529,47.733333333,1.16165709346667,0.013333333333333300,0.02896825396825400,0.05007936507936510
6246,73026,mobile,414,736,22,female,0,qwerty,37.2345698594286,0.31104199066874,en,mobile,FALSE,"""[\autocorrection\""""]""""""",right_hand;thumbs,12,,19.774469638866700,72.15183002450150,2,0.0673190042136064,42.733333333,1.12859599233333,0,0,0.030134680134680100
6249,73039,mobile,320,568,20,male,1,qwerty,52.3463858501176,6.99708454810496,en,mobile,FALSE,"""[\autocorrection\""""]""""""",right_hand;thumbs,1.5,,20.305629361333300,68.29402065762430,1.6,0.0361135661419978,43.666666666,1.07941140746667,0.014814814814814800,0,0.18804232804232800
6261,73073,mobile,360,640,40,male,0,qwerty,29.082317377727,3.7996545768566494,ne,mobile,notsure,"""[\swipe\"""""",""\""""no\""""]""""""",right_hand;thumbs,2,always,9.553841972000000,58.764292486900900,1.9333333333333300,0.047566961742897,38.2,1.176674357,0,0,0
6265,73087,mobile,360,640,30,female,1,qwerty,29.8351329469001,2.08623087621697,en,mobile,FALSE,"""[\autocorrection\""""]""""""",right_hand;middle_fingers,20,,7.873597314866670,34.41877920332850,0.4666666666666670,0.0095148303191319,47.266666666,1.24741247693333,0.05142857142857140,0.12132275132275100,0.01296296296296300
6270,73097,mobile,412,732,27,male,0,qwerty,18.4106558644549,1.33587786259542,en,mobile,FALSE,"""[\no\""""]""""""",right_hand;other,3,,14.005777931133300,61.801533290445200,1.0666666666666700,0.0275924724152189,34.733333333,1.11496304746667,0,0.2127544677544680,0
6274,73119,mobile,360,640,30,female,0,qwerty,26.9233996446695,0.475435816164818,en,mobile,FALSE,"""[\autocorrection\""""]""""""",right_hand;middle_fingers,20,,8.911888878866670,179.47333027457500,0.7333333333333330,0.0154940991618596,42.0,1.29986000126667,0.03293650793650790,0.1470995670995670,0.07823232323232320
6276,73130,mobile,414,736,30,female,0,qwerty,41.5517448135268,1.38888888888889,en,laptop,FALSE,"""[\no\""""]""""""",right_hand;thumbs,0,,15.221875948533300,87.16006097281370,4.8,0.102471507966689,46.066666666,0.8085040286,0.13455581455581500,0.17767417767417800,0.04803825803825800
6284,73158,mobile,360,640,40,female,1,qwerty,36.281179138322,1.05263157894737,en,mobile,FALSE,"""[\no\""""]""""""",right_hand;index_fingers,2,,5.600508311933330,81.07794451247330,0.26666666666666700,0.0045977011494252,50.333333333,1.29889915233333,0.005555555555555560,0.005555555555555560,0.041507936507936500
6324,73376,mobile,414,736,56,female,0,qwerty,15.8597572220474,2.0641194554238,ml,mobile,FALSE,"""[\no\""""]""""""",right_hand;index_fingers,1,sometimes,20.944473773333300,51.014773718243700,3.8,0.107608213683486,43.533333333,1.20482962853333,0,0.007407407407407410,0.013333333333333300
6325,73379,mobile,320,570,29,female,0,qwerty,11.6564464380516,8.14159292035398,en,mobile,FALSE,"""[\prediction\""""]""""""",right_hand;thumbs,5,always,10.1017259566,58.51706627335420,3.8666666666666700,0.0773333333333333,38.066666666,1.33374300486667,0,0.11938775510204100,0.05566457352171640
6384,73648,mobile,1024,768,28,female,0,qwerty,43.050350140472,2.25442834138486,en,tablet,notsure,"""[\no\""""]""""""",right_hand;index_fingers,2,,16.9060015738,58.122627219957700,1.3333333333333300,0.0359446945269167,41.266666666,1.04057854893333,0,0.062407407407407400,0.06526455026455030
6395,73710,mobile,375,667,46,female,0,qwerty,22.1688811043529,2.52525252525253,en,mobile,FALSE,"""[\prediction\"""""",""\""""no\""""]""""""",right_hand;middle_fingers,2,,14.5108292764,137.3495044205310,0.6,0.0123242963118238,39.533333333,0.814436066,0,0.26407407407407400,0.005555555555555560
6401,73729,mobile,360,640,24,male,0,qwerty,23.3989150676059,1.66944908180301,bn,mobile,Touchpal,"""[\swipe\"""""",""\""""no\""""]""""""",right_hand;thumbs,1,always,8.205907157266670,81.19494530538020,0.7333333333333330,0.0206873148921677,39.533333333,1.35953499133333,0,0.1592063492063490,0.19702020202020200
6415,73788,mobile,414,736,28,female,0,qwerty,21.6190570834148,2.06185567010309,en,mobile,FALSE,"""[\notsure\""""]""""""",right_hand;thumbs,2,usually,20.428251806666700,81.76385523203420,0.4,0.0090536329342299,38.466666666,0.7485255426,0.012535612535612500,0.20059218559218600,0
6422,73829,mobile,414,736,24,female,1,qwerty,39.5207672360091,0.429799426934097,en,mobile,FALSE,"""[\no\"""""",""\""""notsure\""""]""""""",left_hand;thumbs,20,usually,19.7192784724,89.58069775490900,2.4,0.061633869156016,46.466666666,1.0742169532,0,0.03433048433048430,0.06360805860805860
6427,73873,mobile,414,736,42,female,0,qwerty,23.7738252071281,2.14876033057851,en,mobile,FALSE,"""[\no\""""]""""""",right_hand;thumbs,2,,20.06973813166670,136.24055135389400,1.8,0.045683780971425,40.2,1.04248727253333,0,0.06148388648388650,0.03796296296296300
6430,73884,mobile,414,736,42,female,0,qwerty,25.5890058636673,1.22591943957968,en,mobile,FALSE,"""[\no\""""]""""""",right_hand;thumbs,2,,20.140735911266700,110.72768234479300,1.7333333333333300,0.0550549317428121,35.866666666,1.03622964533333,0,0.09548340548340550,0.022857142857142900
6437,73911,mobile,414,736,42,female,0,qwerty,24.98290589568,1.74603174603175,en,mobile,FALSE,"""[\no\""""]""""""",right_hand;thumbs,2,,19.957404067266700,111.10803052742800,1.8,0.0418460293646464,41.8,0.9020716106,0,0.18374338624338600,0.10857142857142900
6441,73924,mobile,1024,768,29,female,1,qwerty,41.55827156857929,1.22887864823349,en,tablet,FALSE,"""[\autocorrection\""""]""""""",right_hand;middle_fingers,24,always,26.893255801066700,113.97662836031300,2.1333333333333300,0.0488564391273751,43.333333333,1.09857525446667,0,0.008333333333333330,0.20152551152551200
6442,73929,mobile,360,640,19,male,0,qwerty,40.2810656446098,3.9711191335740095,en,mobile,FALSE,"""[\autocorrection\"""""",""\""""no\""""]""""""",right_hand;thumbs,20,,5.2751431428,126.50108339310800,1.1333333333333300,0.0240275758777146,36.733333333,1.42217976646667,0,0.006060606060606060,0.1175974025974030
6446,73963,mobile,360,640,41,female,0,qwerty,59.692550256208094,1.84331797235023,en,mobile,FALSE,"""[\swipe\""""]""""""",right_hand;index_fingers,8,,4.8310055048,82.20108417153670,0.3333333333333330,0.0051470588235294,43.066666666,0.4656770118,0.696134051134051,0.34636567136567100,0.01111111111111110
6454,74005,mobile,412,846,36,female,0,qwerty,21.2043702213156,1.93765796124684,en,mobile,Go,"""[\swipe\""""]""""""",right_hand;thumbs,4,,4.076001019533330,85.24377088482900,0,0.0,38.133333333,1.2122012068,0,0.1603174603174600,0
6470,74065,mobile,412,732,25,female,0,qwerty,10.6923298503163,1.93236714975845,pa,mobile,FALSE,"""[\autocorrection\""""]""""""",right_hand;middle_fingers,10,always,9.807351041666670,61.41294306194580,0,0.0,40.8,1.1291978418,0.0047619047619047600,0.1283140933140930,0.07952861952861950
6484,74186,mobile,360,740,44,female,0,qwerty,29.6342842779942,0.822368421052632,en,mobile,notsure,"""[\swipe\"""""",""\""""prediction\""""]""""""",right_hand;other-nfingers;8,1,,3.513947384466670,150.43933937056400,0.6666666666666670,0.0111111111111111,43.066666666,0.781473496733333,0.6656023606023610,0.26741758241758200,0.009523809523809520
6485,74196,mobile,412,846,20,female,0,qwerty,28.4316911344294,1.67785234899329,en,mobile,FALSE,"""[\swipe\"""""",""\""""prediction\"""""",""\""""autocorrection\"""""",""\""""no\"""""",""\""""notsure\""""]""""""",right_hand;thumbs,3,,3.6673427665333300,130.19804143489400,0,0.0,39.4,1.37115659726667,0,0.006666666666666670,0.04507936507936510
6489,74221,mobile,412,846,30,female,1,qwerty,20.6436186111388,1.30353817504656,es,mobile,notsure,"""[\prediction\""""]""""""",right_hand;thumbs,1,sometimes,5.758619503133330,109.40059526367000,0.13333333333333300,0.0021164021164021,35.533333333,1.17408275433333,0.007407407407407410,0.17246993746993700,0.04
6494,74257,mobile,414,736,19,female,0,qwerty,51.2140993228358,4.57875457875458,en,mobile,FALSE,"""[\swipe\""""]""""""",right_hand;thumbs,0,,19.225656504866700,130.3932065278910,2.466666666666670,0.0743539503343425,36.0,1.13528796446667,0,0,0.30025012025012000
6515,74430,mobile,414,736,31,female,0,qwerty,15.0901578492846,1.83946488294314,en,mobile,FALSE,"""[\prediction\""""]""""""",right_hand;thumbs,0,,20.071320589133300,232.1215141185350,1.4666666666666700,0.0369760711865975,39.733333333,0.7398324992,0.06010822510822510,0.33308321308321300,0.028968253968254000
6519,74448,mobile,360,740,28,female,0,qwerty,17.5065403361758,3.50223546944858,en,mobile,FALSE,"""[\swipe\"""""",""\""""prediction\"""""",""\""""autocorrection\""""]""""""",right_hand;index_fingers,1,,6.664361769000000,186.97403693669300,2.1333333333333300,0.0410597900821766,45.666666666,0.8005302838,0.7287599437599440,0.08134754134754140,0.062244607244607200
6520,74454,mobile,414,736,21,male,0,qwerty,29.3663427498871,1.26182965299685,af,mobile,FALSE,"""[\no\""""]""""""",right_hand;thumbs,1,usually,16.982212669,233.07455597271000,1.8666666666666700,0.0485623483567385,42.2,1.0337904088,0,0.076007696007696,0.010822510822510800
6521,74464,mobile,360,640,21,male,0,qwerty,16.0725407338454,3.57723577235772,ur,laptop,FALSE,"""[\swipe\"""""",""\""""prediction\"""""",""\""""autocorrection\""""]""""""",right_hand;thumbs,5,usually,13.6338076448,139.29904220916100,2,0.0511174704110009,40.2,1.1707921286,0.006060606060606060,0,0
6530,74504,mobile,360,640,23,female,0,qwerty,38.9580273633764,1.23647604327666,en,mobile,FALSE,"""[\swipe\""""]""""""",right_hand;thumbs,12,,7.925074742000000,92.28103819360830,0,0.0,43.0,1.15172146646667,0.01717171717171720,0.03981481481481480,0.0846079846079846
6541,74617,mobile,360,640,25,female,1,qwerty,36.9235217579876,1.29969418960245,en,mobile,FALSE,"""[\no\""""]""""""",left_hand;thumbs,20,,6.899635433866670,167.46145712408900,1.0666666666666700,0.0246610650106202,41.4,1.04811459433333,0,0,0
6542,74618,mobile,360,640,27,female,0,qwerty,36.9444802267165,4.60921843687375,ru,mobile,Gboard,"""[\swipe\"""""",""\""""prediction\"""""",""\""""autocorrection\""""]""""""",right_hand;thumbs,1,usually,5.682622257533330,120.49879525051800,0,0.0,32.866666666,0.617421090266667,0.7442736892736890,0.0461904761904762,0.020000000000000000
6547,74646,mobile,360,740,23,female,0,qwerty,21.4896456860425,2.19607843137255,en,mobile,SwiftKey,"""[\no\""""]""""""",right_hand;thumbs,1,,4.807574922733330,178.09075160435300,0.4666666666666670,0.0102858826996758,40.866666666,1.48065006093333,0.010683760683760700,0.12414529914529900,0.07351851851851850
6555,74706,mobile,360,640,45,female,1,qwerty,16.9802035370415,2.1015761821366,ml,mobile,FALSE,"""[\swipe\""""]""""""",right_hand;thumbs,2,always,17.062514988066700,111.81398659874200,0.2,0.0093915343915343,36.333333333,1.3300752146,0,0.08285353535353540,0.03156565656565660
6584,74864,mobile,412,732,39,female,0,qwerty,36.6625582318411,2.1630615640599,en,mobile,notsure,"""[\no\""""]""""""",right_hand;index_fingers,1,,4.917555478733330,54.07986605922280,0.8,0.0155665311862256,39.933333333,1.43599214033333,0.017777777777777800,0.020634920634920600,0.07804066304066310
6585,74869,mobile,360,640,23,female,0,qwerty,18.149514924456,2.23964165733483,en,mobile,FALSE,"""[\prediction\""""]""""""",right_hand;thumbs,2,,9.730729719266670,118.85885427801500,0,0.0,32.133333333,1.20367023106667,0.03888888888888890,0.1307142857142860,0
6588,74886,mobile,360,640,29,male,0,qwerty,68.0886183684523,1.18518518518519,en,mobile,FALSE,"""[\swipe\""""]""""""",right_hand;index_fingers,1,,5.210456434666670,62.28902357744310,0,0.0,45.0,0.4296000078,0.8773400673400670,0.013333333333333300,0.006666666666666670
6603,74938,mobile,320,568,38,female,0,qwerty,28.5664669618824,1.17820324005891,de,mobile,FALSE,"""[\prediction\"""""",""\""""autocorrection\""""]""""""",right_hand;index_fingers,0.2,usually,20.80343444,124.24690936909000,1,0.0187904200128949,44.866666666,0.854922224733333,0.015000000000000000,0.19457098457098500,0.028726088726088700
6605,74941,mobile,360,640,36,female,0,qwerty,21.1827343601445,0.175131348511384,fr,mobile,Thumbly,"""[\autocorrection\""""]""""""",right_hand;index_fingers,20,always,5.607548672866670,72.76884744627510,0.4666666666666670,0.0156666666666667,38.0,1.3650479496,0,0,0.03055555555555560
6619,75024,mobile,320,568,22,female,1,qwerty,23.7429802794828,2.24358974358974,en,mobile,FALSE,"""[\no\""""]""""""",left_hand;thumbs,24,always,17.14371766033330,146.93486925235600,5.266666666666670,0.133210557253396,41.4,1.19718393573333,0,0.06785714285714290,0.08544566544566550
6625,75090,mobile,320,568,39,female,0,qwerty,37.8547189963092,0.833333333333333,en,mobile,FALSE,"""[\prediction\""""]""""""",right_hand;middle_fingers,3,always,15.683007056133300,99.3539292674587,1.9333333333333300,0.0453274524325633,47.666666666,1.09879411333333,0,0,0.15389369889369900
6645,75211,mobile,414,736,23,female,1,qwerty,44.6183825564922,1.42247510668563,en,mobile,FALSE,"""[\autocorrection\""""]""""""",right_hand;thumbs,10,,18.190500136066700,52.09763456167290,6.466666666666670,0.135478427884114,46.666666666,1.19775751066667,0,0.05215247715247720,0.041245791245791200
6656,75275,mobile,360,640,25,female,0,qwerty,39.2760142590392,2.80373831775701,hi,mobile,FALSE,"""[\no\""""]""""""",right_hand;thumbs,5,usually,3.968390148933330,38.60410325011170,0,0.0,42.133333333,1.25433780326667,0.006666666666666670,0.009523809523809520,0.05222222222222220
6663,75303,mobile,360,640,46,female,0,qwerty,25.2439488024332,0.587920897915553,en,mobile,FALSE,"""[\prediction\""""]""""""",right_hand;middle_fingers,1,,9.118275512533330,64.05507652461520,0,0.0,45.533333333,1.3389336322,0.005555555555555560,0.08608465608465610,0.029629629629629600
6673,75371,mobile,375,812,31,male,0,qwerty,51.0608224502717,1.18043844856661,es,mobile,FALSE,"""[\autocorrection\""""]""""""",right_hand;thumbs,16,usually,18.091068690333300,51.68154087149240,2.533333333333330,0.0683863383701699,39.533333333,1.15201021666667,0,0.016666666666666700,0.15566859066859100
6685,75440,mobile,414,736,25,female,0,qwerty,50.6414883118031,4.21393841166937,en,mobile,FALSE,"""[\no\""""]""""""",right_hand;index_fingers,10,,18.29306065373330,77.4572372302472,7.266666666666670,0.207969481774007,40.333333333,1.09117319726667,0.07962962962962960,0.11037037037037000,0.15905242905242900
6706,75601,mobile,412,846,30,female,0,qwerty,33.9516574022983,1.02040816326531,en,mobile,FALSE,"""[\no\""""]""""""",right_hand;index_fingers,15,,3.2571256489333300,82.48179264322020,0.6,0.0132657450076805,51.933333333,1.15100469113333,0.013333333333333300,0.09479316979316980,0.012727272727272700
6710,75619,mobile,360,640,15,female,0,qwerty,24.0171675060151,3.6649214659685905,ur,mobile,FALSE,"""[\prediction\""""]""""""",right_hand;thumbs,1,sometimes,10.875983824400000,52.36047540242210,1.3333333333333300,0.0325199602598983,37.933333333,1.074313411,0,0.07978835978835980,0.028333333333333300
6715,75649,mobile,414,736,25,male,1,qwerty,36.2131905573132,0.430416068866571,en,mobile,FALSE,"""[\prediction\""""]""""""",right_hand;index_fingers,4,,14.609204521266700,53.61853238911670,3.533333333333330,0.0645038793235463,46.466666666,1.100152299,0,0.023148148148148100,0.17193732193732200
6718,75670,mobile,412,846,19,male,1,qwerty,45.733296918837105,2.05696202531646,ur,mobile,notsure,"""[\no\""""]""""""",right_hand;thumbs,6,rarely,11.261925658400000,77.48478661670080,1,0.0195335448864861,41.933333333,0.6215432642,0.2861616161616160,0.413989898989899,0.03050505050505050
6740,75787,mobile,375,812,41,female,0,qwerty,27.5879927494373,2.94323756131745,en,mobile,FALSE,"""[\no\""""]""""""",right_hand;thumbs,8,,18.531881969733300,134.7777906578700,2.2,0.0512397950733914,45.0,1.0223933592,0,0.07594664594664600,0.006060606060606060
6754,75890,mobile,320,570,39,male,0,qwerty,21.8039680628369,3.72168284789644,en,mobile,notsure,"""[\prediction\"""""",""\""""autocorrection\""""]""""""",right_hand;index_fingers,10,,10.927667341600000,112.88486473570100,0,0.0,42.866666666,1.0187064076,0.007407407407407410,0.14454064454064500,0.02831168831168830
6755,75891,mobile,412,846,28,male,0,qwerty,29.737371801016,1.64705882352941,hi,mobile,FALSE,"""[\swipe\""""]""""""",right_hand;thumbs,1,usually,8.469262512933330,86.65184028229950,0.4666666666666670,0.0114819469658179,42.666666666,1.41741490833333,0,0.07360269360269360,0.031190476190476200
6768,75958,mobile,375,812,41,female,0,qwerty,28.4648916331986,2.37012987012987,en,mobile,FALSE,"""[\no\""""]""""""",right_hand;thumbs,8,always,19.448285034666700,103.0917376454900,0.8666666666666670,0.0267918192918193,37.933333333,1.036150941,0,0,0.07158323158323160
6784,76000,mobile,412,732,22,female,0,qwerty,24.344773889632,1.48842337375965,ar,mobile,notsure,"""[\no\"""""",""\""""notsure\""""]""""""",right_hand;thumbs,1,sometimes,12.223576619533300,101.64992346703600,1.0666666666666700,0.0326490851737472,39.533333333,1.41462903033333,0,0,0.014074074074074100
6801,76061,mobile,375,667,18,female,1,qwerty,34.122968071291,1.52439024390244,en,mobile,FALSE,"""[\prediction\"""""",""\""""autocorrection\""""]""""""",right_hand;thumbs,18,,16.806049397000000,128.74705968870000,1.9333333333333300,0.0455851433738039,43.333333333,1.02922300106667,0,0.07447163947163950,0
6812,76102,mobile,375,812,21,female,0,qwerty,39.5539952926158,0.0,en,mobile,FALSE,"""[\no\""""]""""""",right_hand;thumbs,15,,17.1113977412,164.2087800983830,4.533333333333330,0.10858592918706,45.066666666,1.21031968573333,0.006666666666666670,0,0
6819,76129,mobile,375,812,60,female,1,qwerty,27.1775107685332,4.14836505612494,en,mobile,SwiftKey,"""[\no\""""]""""""",right_hand;thumbs,2,,18.884257541,106.16639099284300,5.466666666666670,0.114983409536349,48.0,1.2318432234,0,0,0.11548340548340500
6823,76200,mobile,360,640,18,female,1,qwerty,39.2643083082841,0.3584229390681,en,mobile,FALSE,"""[\swipe\""""]""""""",right_hand;thumbs,10,,6.8909756408666700,130.37308958441300,0,0.0,37.066666666,0.545344709533333,0.829866984866985,0,0
6856,76374,mobile,360,640,29,female,1,qwerty,19.6870521060433,1.22605363984674,en,mobile,FALSE,"""[\no\""""]""""""",right_hand;thumbs,12,,11.093935754800000,91.23217112859490,0.06666666666666670,0.0011904761904761,43.333333333,1.1067184368,0,0.08254282754282750,0.07259499759499760
6881,76598,mobile,360,640,45,female,0,qwerty,24.537357352201,1.03825136612022,hi,mobile,notsure,"""[\no\""""]""""""",right_hand;index_fingers,2,always,10.509336650066700,148.8309194852400,0.6,0.0195348837209302,36.0,1.31240027186667,0,0,0
6883,76612,mobile,360,640,37,female,0,qwerty,29.4296370417538,1.58045977011494,en,mobile,notsure,"""[\no\""""]""""""",right_hand;middle_fingers,1,,7.170003569666670,157.25104584087300,2.7333333333333300,0.0648192865284825,45.933333333,0.707060627133333,0.8848232323232330,0.13235690235690200,0.03730639730639730
6887,76635,mobile,375,667,40,female,0,qwerty,28.0609349104366,1.20418848167539,en,tablet,SwiftKey,"""[\prediction\""""]""""""",right_hand;middle_fingers,5,,14.845745183333300,161.44727725261000,4.866666666666670,0.117438860068624,39.466666666,1.15364566506667,0,0.09923761423761420,0.05608465608465610
6890,76676,mobile,360,640,41,female,0,qwerty,26.4394956113595,1.743264659271,tl,mobile,notsure,"""[\no\""""]""""""",right_hand;other-nfingers;2,5,sometimes,7.520896968733330,95.26994270088660,0.4666666666666670,0.0124358974358974,41.933333333,1.24112257093333,0,0,0
6895,76707,mobile,1024,600,29,female,0,qwerty,29.6628294765851,1.04633781763827,en,tablet,FALSE,"""[\no\""""]""""""",right_hand;other-nfingers;Most,12,,9.703532293866670,104.5532615464470,4.866666666666670,0.146563853833591,44.533333333,1.526746486,0,0.04633838383838380,0.03197330447330450
6902,76739,mobile,360,640,19,female,1,qwerty,30.8450524705782,2.13049267643143,en,mobile,FALSE,"""[\no\""""]""""""",right_hand;thumbs,12,,9.579610254,102.86817133463000,1.1333333333333300,0.0223190626088337,49.333333333,1.0678172512,0,0,0
6916,76835,mobile,412,732,18,female,1,qwerty,35.5110267963007,0.490998363338789,tl,mobile,FALSE,"""[\no\""""]""""""",right_hand;thumbs,3,usually,5.392954860400000,179.081666905555,4.133333333333330,0.103618209121847,40.666666666,1.2368537694,0,0,0
6926,76928,mobile,375,667,25,female,1,qwerty,22.2303760311757,4.8290830168204,en,mobile,FALSE,"""[\prediction\"""""",""\""""autocorrection\""""]""""""",right_hand;thumbs,1,always,14.670691591533300,172.70149324811800,10.133333333333300,0.268664812120049,40.666666666,1.22146726886667,0.2512457912457910,0.4018855218855220,0.04666666666666670
6929,76934,mobile,375,667,46,female,0,qwerty,37.3246749447881,7.92227204783259,en,mobile,notsure,"""[\prediction\"""""",""\""""no\""""]""""""",right_hand;index_fingers,8,,17.3432414664,99.1626404553842,2.8666666666666700,0.0648858536947588,43.533333333,1.0616001662,0.01619047619047620,0.03571909571909570,0.2310885410885410
6955,77129,mobile,360,640,27,female,0,qwerty,23.867588853796,1.93861066235864,en,mobile,FALSE,"""[\notsure\""""]""""""",right_hand;thumbs,1,,6.4874544257333300,102.48580460593200,0.2,0.0051207729468599,40.8,1.03932498833333,1.266767676767680,0.19444444444444400,0.20964646464646500
6959,77142,mobile,360,640,25,female,0,qwerty,34.6806235789022,1.71339563862928,tl,mobile,Go,"""[\swipe\"""""",""\""""prediction\""""]""""""",right_hand;thumbs,24,usually,8.536627055866670,82.08185478348310,2.466666666666670,0.069723998343945,42.266666666,1.1579094766,0.03888888888888890,0.01111111111111110,0
6963,77152,mobile,360,640,39,female,0,qwerty,27.8357048217063,2.40384615384615,en,mobile,FALSE,"""[\no\""""]""""""",left_hand;thumbs,3,,8.216288857600000,99.28335445342180,0.2,0.0044962166467542,41.266666666,1.03741580013333,0,0.06534391534391530,0.09582251082251080
6967,77198,mobile,360,640,25,female,1,qwerty,30.0605825148421,4.42073170731707,tl,mobile,Touchpal,"""[\swipe\"""""",""\""""prediction\"""""",""\""""autocorrection\""""]""""""",right_hand;thumbs,24,usually,9.041669403400000,119.16831275505500,5.466666666666670,0.153762148822989,42.266666666,1.36085424426667,0,0,0
